code;benign_ratio;malicious_ratio;benign;malicious;total
;0.9523809523809523;0.047619047619047616;460;23;483
AE;1.0;0.0;2;0;2
AF;1.0;0.0;1;0;1
AL;1.0;0.0;2;0;2
AR;0.4;0.6;2;3;5
AT;1.0;0.0;21;0;21
AU;0.7647058823529411;0.23529411764705882;26;8;34
AZ;1.0;0.0;1;0;1
BA;1.0;0.0;1;0;1
BD;0.25;0.75;1;3;4
BE;0.9473684210526315;0.05263157894736842;576;32;608
BG;0.9375;0.0625;15;1;16
BR;0.8055555555555556;0.19444444444444445;29;7;36
BY;1.0;0.0;8;0;8
BZ;0.5;0.5;1;1;2
CA;0.9140625;0.0859375;117;11;128
CH;0.9375;0.0625;30;2;32
CI;1.0;0.0;1;0;1
CL;0.0;1.0;0;1;1
CN;0.9570957095709571;0.0429042904290429;290;13;303
CO;1.0;0.0;4;0;4
CR;0.5;0.5;1;1;2
CY;1.0;0.0;2;0;2
CZ;0.953125;0.046875;61;3;64
DE;0.9085810431856421;0.09141895681435783;1620;163;1783
DK;0.9777777777777777;0.022222222222222223;44;1;45
DO;0.0;1.0;0;1;1
DZ;1.0;0.0;1;0;1
EE;1.0;0.0;2;0;2
EG;0.0;1.0;0;1;1
ES;0.6285714285714286;0.37142857142857144;22;13;35
EU;0.8487282463186078;0.15127175368139223;634;113;747
FI;0.8333333333333334;0.16666666666666666;10;2;12
FR;0.8723404255319149;0.1276595744680851;451;66;517
GB;0.9439252336448598;0.056074766355140186;303;18;321
GE;0.0;1.0;0;2;2
HK;0.7884615384615384;0.21153846153846154;41;11;52
HR;1.0;0.0;3;0;3
HU;1.0;0.0;13;0;13
ID;0.6363636363636364;0.36363636363636365;21;12;33
IE;0.9712230215827338;0.02877697841726619;675;20;695
IL;1.0;0.0;10;0;10
IM;1.0;0.0;1;0;1
IN;0.7894736842105263;0.21052631578947367;45;12;57
IR;0.9682539682539683;0.031746031746031744;61;2;63
IT;0.6716417910447762;0.3283582089552239;45;22;67
JP;0.9722222222222222;0.027777777777777776;105;3;108
KR;0.9285714285714286;0.07142857142857142;78;6;84
KZ;1.0;0.0;3;0;3
LT;0.12727272727272726;0.8727272727272727;7;48;55
LU;1.0;0.0;6;0;6
LV;1.0;0.0;6;0;6
MK;1.0;0.0;1;0;1
MN;1.0;0.0;1;0;1
MT;1.0;0.0;1;0;1
MY;0.16666666666666666;0.8333333333333334;1;5;6
NL;0.8198757763975155;0.18012422360248448;660;145;805
NO;0.8;0.2;4;1;5
NZ;0.0;1.0;0;2;2
PK;0.6666666666666666;0.3333333333333333;2;1;3
PL;0.7727272727272727;0.22727272727272727;51;15;66
PT;0.8;0.2;12;3;15
QA;1.0;0.0;2;0;2
RO;0.0;1.0;0;1;1
RS;1.0;0.0;10;0;10
RU;0.9271916790490342;0.07280832095096583;624;49;673
SA;1.0;0.0;2;0;2
SC;0.5;0.5;1;1;2
SE;0.7916666666666666;0.20833333333333334;19;5;24
SG;0.8372093023255814;0.16279069767441862;36;7;43
SI;1.0;0.0;2;0;2
SK;0.5714285714285714;0.42857142857142855;4;3;7
TH;0.8333333333333334;0.16666666666666666;5;1;6
TR;0.746268656716418;0.2537313432835821;50;17;67
TW;0.918918918918919;0.08108108108108109;34;3;37
UA;0.76;0.24;19;6;25
US;0.8905017921146954;0.10949820788530466;14907;1833;16740
UY;1.0;0.0;1;0;1
UZ;0.0;1.0;0;1;1
VG;0.19230769230769232;0.8076923076923077;5;21;26
VN;0.8260869565217391;0.17391304347826086;38;8;46
ZA;0.6;0.4;3;2;5
